,B,C
5.322577,0.00010013175682689054,0.0006145863333185382
5.3344,9.98904017060167e-05,0.0006156550134963101
5.339563,9.978512764743458e-05,0.000616120898229133
5.355877,9.94530091915411e-05,0.000617589678501452
5.3677,9.921278869999663e-05,0.000618651111897461
5.372879,9.910769684123657e-05,0.0006191152245881637
5.389241,9.877616197080297e-05,0.0006205784018944613
5.4011,9.853637185951892e-05,0.0006216357708264151
5.406263,9.843209743493315e-05,0.0006220953394213952
5.422577,9.810314681846912e-05,0.0006235441939839528
5.4344,9.786523094970048e-05,0.0006245912155682501
5.439579,9.776115081093332e-05,0.0006250490234742495
5.455941,9.743282144869639e-05,0.0006264923114030342
5.4678,9.719536277304577e-05,0.0006275352952879242
5.472963,9.709210556257273e-05,0.0006279886085464662
5.489277,9.676637720752612e-05,0.0006294177300395178
5.5011,9.653080434833104e-05,0.0006304504799222861
5.506263,9.642806088582293e-05,0.0006309006932717066
5.522577,9.610395950110832e-05,0.0006323200360927495
5.5344,9.5869569247601e-05,0.0006333457139465086
5.539579,9.576703625866106e-05,0.0006337941849145082
5.555941,9.544360655590372e-05,0.0006352080195811304
5.5678,9.520970936637005e-05,0.0006362297027144886
5.572963,9.510800549198833e-05,0.0006366737537073171
5.589277,9.47871955139194e-05,0.0006380736579144214
5.6011,9.455519692989063e-05,0.0006390852781002417
5.606279,9.4453713132186e-05,0.0006395275996935459
5.622641,9.413360473431494e-05,0.0006409220371523795
5.6345,9.390212046547227e-05,0.0006419296929917082
5.639663,9.380146865030273e-05,0.0006423676446821285
5.655977,9.348398853561566e-05,0.0006437483098777608
5.6678,9.32544086036567e-05,0.0006447460174055354
5.672963,9.315428612756412e-05,0.0006451809478363981
5.689277,9.28384810624294e-05,0.0006465520833318475
5.7011,9.261011747151524e-05,0.0006475428997080361
5.706279,9.25102278294526e-05,0.0006479761212203092
5.722641,9.219516403698618e-05,0.0006493418552134853
5.7345,9.19673429490933e-05,0.0006503287550318901
5.739663,9.186828787659631e-05,0.0006507576819662834
5.755977,9.155585985517433e-05,0.0006521098816209772
5.7678,9.132994788834214e-05,0.0006530870054879541
5.772979,9.123113314623474e-05,0.0006535142377693975
5.789341,9.091946970316501e-05,0.0006548610813221665
5.8012,9.069411677279129e-05,0.0006558343218418055
5.806363,9.059613727707388e-05,0.0006562573098796455
5.822677,9.028711132817317e-05,0.000657590778049012
5.8345,9.006366837873961e-05,0.0006585543577384748
5.839663,8.996622844612851e-05,0.0006589744050992388
5.855977,8.965890885761256e-05,0.0006602985984839854
5.8678,8.943670400976722e-05,0.0006612554720535289
5.872979,8.93395142567821e-05,0.0006616738469391786
5.889341,8.903298983945737e-05,0.0006629927547436322
5.9012,8.881136570459086e-05,0.0006639457964972472
5.906363,8.87150107888125e-05,0.000664360002621368
5.922677,8.841112200828092e-05,0.0006656657733694485
5.9345,8.819140597974588e-05,0.0006666093268565945
5.939679,8.8095306955683e-05,0.0006670218757624955
5.956041,8.779223106936571e-05,0.0006683224094096187
5.9679,8.757310829291155e-05,0.0006692621664729314
5.973063,8.747784296341277e-05,0.0006696705969121837
5.989377,8.717739876310592e-05,0.0006709581522767478
6.0012,8.696018091100316e-05,0.0006718885360103068
6.006363,8.686546086831801e-05,0.0006722941075462634
6.022677,8.656674028208456e-05,0.000673572646668718
6.0345,8.635077225653671e-05,0.0006744965118140167
6.039679,8.625631549437208e-05,0.000674900449602942
6.056041,8.595843069753904e-05,0.0006761738261590751
6.0679,8.574307209356757e-05,0.0006770939492512504
6.073063,8.564944613562044e-05,0.0006774938438010805
6.089377,8.53541834315976e-05,0.0006787544795204658
6.1012,8.51407223681508e-05,0.0006796654011358386
